JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer_Code,Comment_Code(s),Comp_Star_1,Comp_Star_2,Charts,Comments,Transfomed,Airmass,Validation_Flag,Cmag,Kmag,HJD,Star_Name,Observer_Affiliation,Measurement_Method,Grouping_Method,ADS_Reference,Digitizer,Credit
2459710.36684,13.316,0.005,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.026,Z,,14.955,,XM116HT,MCSE,STD,,,,
2459710.366979,13.517,0.009,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.084,Z,17.223,18.395,,TCP J14225968+4122545,VVS,STD,,,,
2459710.367477,13.499,0.009,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.083,Z,17.217,18.400,,TCP J14225968+4122545,VVS,STD,,,,
2459710.36760,13.312,0.005,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.026,Z,,14.972,,XM116HT,MCSE,STD,,,,
2459710.367940,13.494,0.009,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.082,Z,17.233,18.424,,TCP J14225968+4122545,VVS,STD,,,,
2459710.36835,13.300,0.006,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.025,Z,,14.991,,XM116HT,MCSE,STD,,,,
2459710.368391,13.494,0.009,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.082,Z,17.228,18.400,,TCP J14225968+4122545,VVS,STD,,,,
2459710.368854,13.496,0.010,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.081,Z,17.252,18.430,,TCP J14225968+4122545,VVS,STD,,,,
2459710.36911,13.295,0.005,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.024,Z,,14.879,,XM116HT,MCSE,STD,,,,
2459710.369306,13.515,0.009,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.080,Z,17.267,18.400,,TCP J14225968+4122545,VVS,STD,,,,
2459710.369792,13.537,0.009,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.079,Z,17.231,18.392,,TCP J14225968+4122545,VVS,STD,,,,
2459710.36987,13.314,0.005,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.024,Z,,14.956,,XM116HT,MCSE,STD,,,,
2459710.370255,13.523,0.009,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.079,Z,17.242,18.409,,TCP J14225968+4122545,VVS,STD,,,,
2459710.37063,13.340,0.006,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.023,Z,,14.957,,XM116HT,MCSE,STD,,,,
2459710.370706,13.555,0.009,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.078,Z,17.229,18.387,,TCP J14225968+4122545,VVS,STD,,,,
2459710.371146,13.564,0.010,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.077,Z,17.251,18.427,,TCP J14225968+4122545,VVS,STD,,,,
2459710.37139,13.360,0.005,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.022,Z,,14.923,,XM116HT,MCSE,STD,,,,
2459710.371597,13.584,0.010,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.076,Z,17.263,18.423,,TCP J14225968+4122545,VVS,STD,,,,
2459710.372083,13.603,0.010,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.075,Z,17.253,18.391,,TCP J14225968+4122545,VVS,STD,,,,
2459710.37215,13.394,0.005,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.022,Z,,14.988,,XM116HT,MCSE,STD,,,,
2459710.372535,13.623,0.010,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.075,Z,17.263,18.441,,TCP J14225968+4122545,VVS,STD,,,,
2459710.37291,13.397,0.004,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.021,Z,,14.906,,XM116HT,MCSE,STD,,,,
2459710.372986,13.626,0.010,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.074,Z,17.255,18.381,,TCP J14225968+4122545,VVS,STD,,,,
2459710.373438,13.639,0.010,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.073,Z,17.248,18.395,,TCP J14225968+4122545,VVS,STD,,,,
2459710.37366,13.400,0.005,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.020,Z,,14.951,,XM116HT,MCSE,STD,,,,
2459710.373900,13.629,0.010,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.073,Z,17.263,18.407,,TCP J14225968+4122545,VVS,STD,,,,
2459710.374387,13.649,0.010,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.072,Z,17.263,18.415,,TCP J14225968+4122545,VVS,STD,,,,
2459710.37442,13.452,0.006,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.020,Z,,14.972,,XM116HT,MCSE,STD,,,,
2459710.374838,13.639,0.010,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.071,Z,17.262,18.427,,TCP J14225968+4122545,VVS,STD,,,,
2459710.37518,13.459,0.005,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.019,Z,,14.980,,XM116HT,MCSE,STD,,,,
2459710.375289,13.650,0.010,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.070,Z,17.293,18.443,,TCP J14225968+4122545,VVS,STD,,,,
2459710.375741,13.664,0.010,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.070,Z,17.322,18.459,,TCP J14225968+4122545,VVS,STD,,,,
2459710.37594,13.464,0.006,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.019,Z,,14.913,,XM116HT,MCSE,STD,,,,
2459710.376181,13.660,0.010,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.069,Z,17.290,18.405,,TCP J14225968+4122545,VVS,STD,,,,
2459710.376678,13.675,0.010,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.068,Z,17.264,18.408,,TCP J14225968+4122545,VVS,STD,,,,
2459710.37670,13.457,0.005,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.018,Z,,14.966,,XM116HT,MCSE,STD,,,,
2459710.377118,13.691,0.010,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.068,Z,17.265,18.440,,TCP J14225968+4122545,VVS,STD,,,,
2459710.37746,13.464,0.005,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.018,Z,,14.963,,XM116HT,MCSE,STD,,,,
2459710.378032,13.709,0.010,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.066,Z,17.245,18.423,,TCP J14225968+4122545,VVS,STD,,,,
2459710.37821,13.504,0.005,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.017,Z,,14.966,,XM116HT,MCSE,STD,,,,
2459710.378484,13.750,0.010,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.065,Z,17.241,18.375,,TCP J14225968+4122545,VVS,STD,,,,
2459710.37897,13.554,0.006,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.017,Z,,14.993,,XM116HT,MCSE,STD,,,,
2459710.378981,13.737,0.010,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.065,Z,17.237,18.393,,TCP J14225968+4122545,VVS,STD,,,,
2459710.379421,13.773,0.010,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.064,Z,17.223,18.366,,TCP J14225968+4122545,VVS,STD,,,,
2459710.37973,13.556,0.005,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.016,Z,,14.917,,XM116HT,MCSE,STD,,,,
